,Zeit,Vollständiger Name,Ereigniskontext,Komponente,Ereignisname,Herkunft
3866,7.11.2022 02:57,Student35,Test: Quiz 7,Test,Testversuch gestartet,web
3875,6.11.2022 23:19,Student1,Test: Quiz 7,Test,Testversuch eingereicht,web
3885,6.11.2022 23:15,Student1,Test: Quiz 7,Test,Testversuch gestartet,web
3887,6.11.2022 23:15,Student1,Test: Quiz 7,Test,Testversuch eingereicht,web
3891,6.11.2022 23:14,Student1,Test: Quiz 7,Test,Testversuch gestartet,web
3896,6.11.2022 23:13,Student1,Test: Quiz 7 (Kopie),Test,Testversuch eingereicht,web
3899,6.11.2022 23:03,Student18,Test: Quiz 4 (Kopie),Test,Testversuch eingereicht,web
3913,6.11.2022 22:20,Student18,Test: Quiz 4 (Kopie),Test,Testversuch gestartet,web
3916,6.11.2022 22:18,Student1,Test: Quiz 7 (Kopie),Test,Testversuch gestartet,web
3918,6.11.2022 22:18,Student1,Test: Quiz 7 (Kopie),Test,Testversuch eingereicht,web
3927,6.11.2022 22:00,Student1,Test: Quiz 7 (Kopie),Test,Testversuch gestartet,web
3929,6.11.2022 22:00,Student1,Test: Quiz 6 (Kopie),Test,Testversuch eingereicht,web
3937,6.11.2022 21:51,Student18,Test: Quiz 3 (Kopie),Test,Testversuch eingereicht,web
3946,6.11.2022 21:48,Student18,Test: Quiz 3 (Kopie),Test,Testversuch gestartet,web
3949,6.11.2022 21:45,Student18,Test: Quiz 3 (Kopie),Test,Testversuch eingereicht,web
3954,6.11.2022 21:29,Student18,Test: Quiz 3 (Kopie),Test,Testversuch gestartet,web
3958,6.11.2022 21:28,Student18,Test: Quiz 2 (Kopie),Test,Testversuch eingereicht,web
3961,6.11.2022 21:28,Student1,Test: Quiz 6 (Kopie),Test,Testversuch gestartet,web
3978,6.11.2022 21:04,Student18,Test: Quiz 2 (Kopie),Test,Testversuch gestartet,web
3981,6.11.2022 21:02,Student18,Test: Quiz 1 (Kopie),Test,Testversuch eingereicht,web
3993,6.11.2022 20:51,Student18,Test: Quiz 1 (Kopie),Test,Testversuch gestartet,web
4012,6.11.2022 19:52,Student35,Test: Quiz 7,Test,Testversuch eingereicht,web
4020,6.11.2022 19:51,Student35,Test: Quiz 7,Test,Testversuch gestartet,web
4022,6.11.2022 19:48,Student35,Test: Quiz 7,Test,Testversuch eingereicht,web
4029,6.11.2022 19:46,Student35,Test: Quiz 7,Test,Testversuch gestartet,web
4031,6.11.2022 19:46,Student35,Test: Quiz 7,Test,Testversuch eingereicht,web
4036,6.11.2022 19:46,Student35,Test: Quiz 7,Test,Testversuch gestartet,web
4038,6.11.2022 19:45,Student35,Test: Quiz 7,Test,Testversuch eingereicht,web
4042,6.11.2022 19:45,Student1,Test: Quiz 5 (Kopie),Test,Testversuch eingereicht,web
4052,6.11.2022 19:39,Student35,Test: Quiz 7,Test,Testversuch gestartet,web
4068,6.11.2022 18:45,Student1,Test: Quiz 5 (Kopie),Test,Testversuch gestartet,web
4071,6.11.2022 18:40,Student1,Test: Quiz 4 (Kopie),Test,Testversuch eingereicht,web
4079,6.11.2022 18:19,Student1,Test: Quiz 4 (Kopie),Test,Testversuch gestartet,web
4084,6.11.2022 17:45,Student27,Test: Quiz 5 (Kopie),Test,Testversuch gestartet,web
4092,6.11.2022 17:40,Student27,Test: Quiz 4 (Kopie),Test,Testversuch gestartet,web
4096,6.11.2022 17:36,Student27,Test: Quiz 3 (Kopie),Test,Testversuch gestartet,web
4105,6.11.2022 17:32,Student18,Test: Quiz 7,Test,Testversuch eingereicht,web
4113,6.11.2022 17:29,Student27,Test: Quiz 2 (Kopie),Test,Testversuch gestartet,web
4124,6.11.2022 17:25,Student27,Test: Quiz 1 (Kopie),Test,Testversuch gestartet,web
4132,6.11.2022 17:24,Student11,Test: Quiz 7,Test,Testversuch eingereicht,web
4158,6.11.2022 16:44,Student18,Test: Quiz 7,Test,Testversuch gestartet,web
4165,6.11.2022 16:39,Student11,Test: Quiz 7,Test,Testversuch gestartet,web
4181,5.11.2022 22:59,Student1,Test: Quiz 3 (Kopie),Test,Testversuch eingereicht,web
4192,5.11.2022 22:32,Student1,Test: Quiz 3 (Kopie),Test,Testversuch gestartet,web
4209,5.11.2022 22:28,Student1,Test: Quiz 2 (Kopie),Test,Testversuch eingereicht,web
4228,5.11.2022 21:43,Student36,Test: Quiz 7,Test,Testversuch eingereicht,web
4235,5.11.2022 21:35,Student1,Test: Quiz 2 (Kopie),Test,Testversuch gestartet,web
4237,5.11.2022 21:34,Student1,Test: Quiz 1 (Kopie),Test,Testversuch eingereicht,web
4253,5.11.2022 21:26,Student1,Test: Quiz 1 (Kopie),Test,Testversuch gestartet,web
